barcode,name,price,quantity,qty_unit,computed_unit_price,computed_unit_label,has_promo,PromotionIds,RewardTypes,AnyGift,AnyMulti,manufacturer,country,description,price_update_date
8004395112425,מרביס משחת שיניים לחניכיים רגישות 75 מל,39.9,75.0,ml,53.2,per_100ml,False,,,,,General,איטליה,משחת שיניים לחניכיים רגישות,2025-08-21
8004395110063,מרביס משחת שיניים מנטה קלאסית 25 מל,15.9,25.0,ml,63.6,per_100ml,False,,,,,General,איטליה,משחת שיניים מנטה קלאסית- אריזת נסיעות,2025-08-15
8004395110414,מרביס משחת שיניים קינמון 25 מל,14.9,25.0,ml,59.6,per_100ml,False,,,,,General,איטליה,משחת שיניים קינמון- אריזת נסיעות,2025-08-15
7610108059973,מרידול חוט דנטלי,35.9,0.0,,,,False,,,,,שסטוביץ,מלזיה,חוט דנטלי,2025-04-09
8718951093331,מרידול מברשת שיניים אקסטרה סופט זוג,40.9,2.0,,,,False,,,,,שסטוביץ,שווייץ,מברשות שיניים רכות במיוחד לחניכיים רגישות,2025-04-09
7290102060764,מרידול מברשת שיניים אריזת זוג,40.9,2.0,,,,False,,,,,שסטוביץ,,מברשות שיניים לחניכיים רגישות,2025-04-09
8718951643574,מרידול מברשת שיניים חניכיים+רגישות זוג,40.9,2.0,,,,False,,,,,שסטוביץ,שווייץ,מברשת שיניים לחניכיים בריאות + רגישות,2025-04-09
8718951144064,מרידול מברשת שיניים פרדונט אקספרט זוג,40.9,2.0,,,,False,,,,,שסטוביץ,שווייץ,מברשת שיניים לחניכים רגישות פרודונט אקספרט,2025-04-09
8718951579590,מרידול משחת שיניים פרודונט אקספרט 75 מל,31.9,75.0,ml,42.53,per_100ml,False,,,,,שסטוביץ,פולין,משחת שיניים פרודונט אקספרט,2025-08-15
8718951466371,מרידול משחת שיניים קלאסית 75 מל,21.9,75.0,ml,29.2,per_100ml,True,4258033,8,0,1,שסטוביץ,פולין,משחת שיניים מסייעת בטיפול ומניעה של בעיות חניכיים,2025-08-15
8718951579545,מרידול משחת שיניים קלאסית לחניכיים 75 מל,27.9,75.0,ml,37.2,per_100ml,True,4258033,8,0,1,שסטוביץ,פולין,משחת שיניים להגנה על החניכיים מסייעת במניעת בעיות חניכיים קלאסי,2025-08-15
8718951560802,מרידול פרדונט אקספרט מי פה 400 מל,40.9,400.0,ml,10.22,per_100ml,True,4258028,3,0,1,שסטוביץ,פולין,PARODONT EXPERT שטיפת פה לחיזוק החניכיים,2025-04-09
8718951482838,מרידול קומפליט קר מי פה 400 מל,40.9,400.0,ml,10.22,per_100ml,True,4258028,3,0,1,שסטוביץ,פולין,COMPLETE CARE שטיפת פה לחניכיים רגישות ושיניים רגישות,2025-04-09
8718951477445,מרידול קומפליט קר משחת שיניים 75 מל,30.9,75.0,ml,41.2,per_100ml,False,,,,,שסטוביץ,פולין,COMPLETE CARE לחניכיים רגישות ושיניים רגישות,2025-08-15
7290000803180,"מרידול שטיפה 400מ""ל",32.9,400.0,ml,8.22,per_100ml,False,,,,,General,,מי פה לחניכיים רגישות,2025-04-09
785364130425,מריו בדסקו באלם שפתיים,34.9,10.0,g,349.0,per_100g,True,"4120406,4258200,4259603","11,3,4",0,1,General,ארצות הברית,באלם שפתיים,2025-04-21
