PriceUpdateDate,ItemCode,ItemName,ManufacturerName,ManufactureCountry,ManufacturerItemDescription,UnitQty,Quantity,UnitOfMeasure,blsWeighted,QtyInPackage,ItemPrice,UnitOfMeasurePrice,AllowDiscount,ItemStatus
2025-04-09,3838824171548,פאלטה נטורלס 3-68 חום שוקולד מיני קיט,הנקל סוד,סלובניה,נטורלס צבע שיער 3-68 חום שוקולד,,0.00,0.00,0,1.00,30.90,30.90,1,0
2025-04-09,5010622005012,אורל בי חוט דנטלי,General,,חוט דנטלי ללא שעווה,מטרים,50.00,1 מטר,0,1.00,22.90,0.45,1,0
2025-07-02,7290104724718,פרה שוקולד חלב במילוי קרם נוגט מגדים,שטראוס גרופ,ישראל,שוקולד חלב במילוי קרם נוגט,גרם,100.00,100 גרם,0,1.00,11.90,0.00,1,0
2025-04-09,3614228865883,סופט קולור 20 שחור,דיפלומט,גרמניה,ערכת צבע לשיער ללא אמוניה 20 שחור,,0.00,0.00,0,1.00,42.90,42.90,1,0
2025-07-24,7290111590467,לייף גל לשיער למראה רטוב 500 מל,לייף,ישראל,ג'ל לעיצוב שיער למראה רטוב,מיליליטר,500.00,"100 מ""ל",0,1.00,14.90,0.00,1,0
2025-08-11,7290015130042,ווין חטיף חלבון קרם קרמל ושקדים קלויים,נורוליס,ישראל,ווין חטיף חלבון בטעם קרם קרמל ושקדים קלויים,גרם,65.00,100 גרם,0,1.00,15.90,0.00,1,0
2025-04-24,3499320015738,צטאפיל רסטורדם תחליב לחות משקם 295 מל,אמי טכנולוגיות,קנדה,"קרם לחות טיפולי לעור יבש, מגרד ורגיש",מיליליטר,295.00,"100 מ""ל",0,1.00,131.90,0.00,1,0
2025-08-15,8718951627826,פלמוליב גל רחצה לגבר אקטיב פרש 500 מל,שסטוביץ,טורקיה,ג'ל רחצה לגבר אקטיב פרש,מיליליטר,500.00,"100 מ""ל",0,1.00,24.90,0.00,1,0
2025-04-21,5060599188263,מאד ביוטי דיסני סרט שיער אלסטי באגס באני,General,סין,סרט שיער אלסטי - LOONEY TOONES BUGS BUNNY,,0.00,0.00,0,1.00,24.90,24.90,1,0
2025-04-09,7290108357387,סנו לניקוי ורענון ריפודים 500 מל,החברה הדרומית,ישראל,לניקוי ורענון ריפודים בניחוח מרכך כביסה,מיליליטר,500.00,"100 מ""ל",0,1.00,23.90,0.00,1,0
